Country,Population,GNI_per_capita
China,1439323776,10410
India,1380004385,2130
United States,331002651,65910
Indonesia,273523615,4050
Pakistan,220892340,1530
Brazil,212559417,9130
Nigeria,206139589,2030
Bangladesh,164689383,2010
Russia,145934462,11260
Mexico,128932753,9430
Japan,126476461,41690
Philippines,109581078,3850
Egypt,102334404,3020
Ethiopia,114963588,890
Vietnam,97338579,2590
DR Congo,89561403,495
Turkey,84339067,9610
Iran,83992949,5420
Germany,83783942,48520
Thailand,69799978,7260
United Kingdom,67886011,42370
France,65273511,42330
Italy,60461826,34460
South Africa,59308690,6040
Tanzania,59734218,1080
Myanmar,54409800,1390
Kenya,53771296,1750
South Korea,51269185,32860
Colombia,50882891,6510
Spain,46754778,29450
Uganda,45741007,780
Argentina,45195774,11130
Algeria,43851044,3970
Sudan,43849260,590
Ukraine,43733762,3370
Iraq,40222493,5740
Afghanistan,38928346,530
Poland,37846611,15200
Canada,37742154,46370
Morocco,36910560,3190
Saudi Arabia,34813871,22270
Uzbekistan,33469203,1800
Peru,32971854,6740
Angola,32866272,2020
Malaysia,32365999,11230
Mozambique,31255435,480
Ghana,31072940,2230
Yemen,29825964,940
Nepal,29136808,1090
Venezuela,28435940,3400
Madagascar,27691018,520
Cameroon,26545863,1500
Côte d'Ivoire,26378274,2290
North Korea,25778816,1300
Australia,25499884,54910
Niger,24206644,553
Taiwan,23816775,28180
Sri Lanka,21413249,4020
Burkina Faso,20903273,790
Mali,20250833,870
Romania,19237691,12630
Malawi,19129952,380
Chile,19116201,14670
Kazakhstan,18776707,8820
Zambia,18383955,1450
Guatemala,17915568,4610
Ecuador,17643054,6090
Syria,17500658,1820
Netherlands,17134872,53200
Senegal,16743927,1430
Cambodia,16718965,1490
Chad,16425864,700
Somalia,15893222,310
Zimbabwe,14862924,1390
Guinea,13132795,1020
Rwanda,12952218,780
Benin,12123200,1250
Burundi,11890784,280
Tunisia,11818619,3630
Bolivia,11673021,3530
Belgium,11589623,47350
Haiti,11402528,1330
Cuba,11326616,8130
South Sudan,11193725,1090
Dominican Republic,10847910,8100
Czech Republic,10708981,22000
Greece,10423054,19750
Jordan,10203134,4310
Portugal,10196709,22440
Azerbaijan,10139177,4480
Sweden,10099265,55840
Honduras,9904607,2390
United Arab Emirates,9890402,43470
Hungary,9660351,16140
Tajikistan,9537645,1060
Belarus,9449323,6330
Austria,9006398,51300
Papua New Guinea,8947024,2750
Serbia,8737371,7400
Israel,8655535,43290
Switzerland,8654622,85500
Togo,8278724,690
Sierra Leone,7976983,500
Hong Kong,7496981,50800
Laos,7275560,2570
Paraguay,7132538,5380
Bulgaria,6948445,9410
Libya,6871292,6330
Lebanon,6825445,7380
Nicaragua,6624554,1890
Kyrgyzstan,6524195,1240
El Salvador,6486205,4000
Turkmenistan,6031200,6740
Singapore,5850342,59590
Denmark,5792202,67803
Finland,5540720,49580
Congo,5518087,1640
Slovakia,5459642,19320
Norway,5421241,82500
Oman,5106626,15343
State of Palestine,5101414,3710
Costa Rica,5094118,11700
Liberia,5057681,580
Ireland,4937786,67050
Central African Republic,4829767,510
New Zealand,4822233,42670
Mauritania,4649658,1640
Panama,4314767,14950
Kuwait,4270571,34290
Croatia,4105267,14540
Moldova,4033963,4570
Georgia,3989167,4780
Eritrea,3546421,600
Uruguay,3473730,16230
Bosnia and Herzegovina,3280819,6090
Mongolia,3278290,3790
Armenia,2963243,4680
Jamaica,2961167,5320
Qatar,2881053,61150
Albania,2877797,5310
Puerto Rico,2860853,21740
Lithuania,2722289,19020
Namibia,2540905,5060
Gambia,2416668,750
Botswana,2351627,7650
Gabon,2225734,7210
Lesotho,2142249,1100
